0.000000000000000000e+00	1.000000000000000000e+01	2.000000000000000000e+01	3.000000000000000000e+01	4.000000000000000000e+01	5.000000000000000000e+01	6.000000000000000000e+01	7.000000000000000000e+01	8.000000000000000000e+01	9.000000000000000000e+01	1.000000000000000000e+02
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01	1.333333333333333393e+01
2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01	2.666666666666666785e+01
4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01
5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01	5.333333333333333570e+01
6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01	6.666666666666667140e+01
8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01	8.000000000000000000e+01
9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01	9.333333333333332860e+01
1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02	1.066666666666666714e+02
